cfips,linear,multinomial,holt,last
1001,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.4117647058823529
1003,0.0,0.36,0.24000000000000005,0.4
1005,0.4736842105263158,0.5263157894736842,0.0,0.0
1007,0.09090909090909091,0.9090909090909091,0.0,0.0
1009,0.0,0.8181818181818181,0.0,0.18181818181818182
1011,0.08333333333333333,0.8333333333333333,0.0,0.08333333333333333
1013,0.0,0.125,0.0,0.875
1015,0.0,1.0,0.0,0.0
1017,0.0,1.0,0.0,0.0
1019,0.0,1.0,0.0,0.0
1021,0.0625,0.625,0.3125,0.0
1023,0.0,0.888888888888889,0.0,0.11111111111111112
1025,0.18181818181818182,0.8181818181818181,0.0,0.0
1027,0.0,1.0,0.0,0.0
1029,0.0,1.0,0.0,0.0
1031,0.0,1.0,0.0,0.0
1033,0.0,1.0,0.0,0.0
1035,0.0,1.0,0.0,0.0
1037,0.0,1.0,0.0,0.0
1039,0.0,0.5384615384615384,0.0,0.4615384615384615
1041,0.0,1.0,0.0,0.0
1043,0.0,0.8,0.2,0.0
1045,0.0,0.8181818181818181,0.0,0.18181818181818182
1047,0.27272727272727276,0.045454545454545456,0.45454545454545453,0.22727272727272727
1049,0.0,1.0,0.0,0.0
1051,0.08695652173913045,0.391304347826087,0.08695652173913045,0.4347826086956522
1053,0.0,1.0,0.0,0.0
1055,0.125,0.7500000000000001,0.0,0.125
1057,0.0625,0.3125,0.0,0.625
1059,0.11111111111111112,0.5555555555555556,0.0,0.33333333333333337
1061,0.368421052631579,0.47368421052631576,0.0,0.15789473684210528
1063,0.16666666666666669,0.6666666666666667,0.0,0.16666666666666669
1065,0.0,1.0,0.0,0.0
1067,0.0,1.0,0.0,0.0
1069,0.0,0.4444444444444445,0.5555555555555556,0.0
1071,0.0,0.7692307692307692,0.0,0.23076923076923078
1073,0.0,0.47058823529411764,0.5294117647058824,0.0
1075,0.058823529411764705,0.35294117647058826,0.0,0.588235294117647
1077,0.09090909090909091,0.9090909090909091,0.0,0.0
1079,0.0,0.8571428571428572,0.0,0.14285714285714285
1081,0.0,0.888888888888889,0.11111111111111112,0.0
1083,0.0,0.3333333333333333,0.6666666666666666,0.0
1085,0.0,1.0,0.0,0.0
1087,0.0,1.0,0.0,0.0
1089,0.0,0.5714285714285714,0.4285714285714286,0.0
1091,0.14285714285714285,0.8571428571428572,0.0,0.0
1093,0.05,0.5,0.0,0.45
1095,0.0625,0.625,0.3125,0.0
1097,0.0,1.0,0.0,0.0
1099,0.0,1.0,0.0,0.0
1101,0.09090909090909091,0.9090909090909091,0.0,0.0
1103,0.05,0.5,0.15000000000000002,0.30000000000000004
1105,0.0,1.0,0.0,0.0
1107,0.0,0.8571428571428572,0.0,0.14285714285714285
1109,0.0,0.9,0.0,0.1
1111,0.09090909090909091,0.9090909090909091,0.0,0.0
1113,0.0,1.0,0.0,0.0
1115,0.08333333333333333,0.8333333333333333,0.0,0.08333333333333333
1117,0.0625,0.625,0.0,0.3125
1119,0.0,1.0,0.0,0.0
1121,0.0,0.7777777777777778,0.0,0.2222222222222222
1123,0.0,0.4285714285714286,0.0,0.5714285714285714
1125,0.0,1.0,0.0,0.0
1127,0.0,0.5833333333333333,0.0,0.41666666666666663
1129,0.2222222222222222,0.7777777777777778,0.0,0.0
1131,0.08333333333333334,0.75,0.0,0.16666666666666669
1133,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.09090909090909091
2013,0.11111111111111112,0.888888888888889,0.0,0.0
